.AttributePublicSealedStInStBoStUnique;VRTK.SDK_DescriptionAttribute;17
.BaseInputModulePublicBoSiObm_ObSiObSiObUnique;UiControllerInputModule;63
.Button1PublicObUnique;VRC.UI.Elements.Controls.MenuTab;0
.ButtonPublicIMoveHandlerIEventSystemHandlerIPointerDownHandlerIPointerUpHandlerIPointerEnterHandlerIPointerExitHandlerISelectHandlerIDeselectHandlerSt_cBo_sObObStUnique;VRCButtonHandle;0
.ButtonPublicIPointerDownHandlerIEventSystemHandlerIPointerUpHandlerIPointerEnterHandlerIPointerExitHandlerObObObObUnique;UIWidgets.ButtonAdvanced;24
.ButtonPublicISelectHandlerIEventSystemHandlerUnique;UiFeaturedButton;1
.ConnectionHandlerPrivateObInCaInThBoInPrInBoUnique;Photon.Pun.PhotonHandler;158
.ConnectionHandlerPrivateObInPrInBoPrInPrInInUnique;Photon.Pun.PhotonHandler;0
.ContentSizeFitterPublicRe_p_rRe_tSiReUnique;VRC.UI.Elements.Controls.ParentContentSizeFitter;55
.EnumNPrivateSealedvaNUBYDOFLINSHLOBOSTUnique;VideoEnum;0
.EnumNPublicSealedvaNoPrAsInImCoInCaErUnique;AssetStatusEnum;0
.EnumNPublicSealedvaNoVRDeSc5vUnique;CameraModeEnum;0
.EnumNPublicSealedvaOpCuFaTr5vUnique;ShaderTypeEnum;0
.EnumNPublicSealedvaReCoPi4vUnique;VRC.Items.GameObjectController.ItemSyncEnum;0
.EnumNPublicSealedvaRiLe3vUnique;PhysBoneEnum;0
.EnumNPublicSealedvaUnLoErBlSaPeSuFaCuUnique;AvatarKind;0
.EnumPrivateSealedvaCrJo6vJoJoJoUnique;CreateRoomEnum;0
.EnumPrivateSealedvaHa4vHaHaUnique;MatchState;40
.EnumPrivateSealedvaInNoInPrVa6vUnique;LitJson.Condition;60
.EnumPrivateSealedvaNoNuTrFaChNuTeChObUnique;LitJson.ParserToken;200
.EnumPrivateSealedvaReDeReHaUnReHaStUnUnique;Unity.IO.Compression.InflaterState;240
.EnumPrivateSealedvaUnStDy4vUnique;Unity.IO.Compression.BlockType;40
.EnumPublicSealedvaABTRSC4vUnique;Oculus.Spatializer.Propagation.MaterialProperty;40
.EnumPublicSealedvaAnThAlTh5vUnique;PlatformEnum;0
.EnumPublicSealedvaApDLCoBu5vUnique;Discord.SkuType;50
.EnumPublicSealedvaAtLoWoCO5vUnique;VRC.UserCamera.UserCameraSpace;0
.EnumPublicSealedvaAu4vAuAuUnique;Photon.Realtime.AuthModeOption;40
.EnumPublicSealedvaBi15BiBiBiBiBiBiBiUnique;SoundBitrateEnum;0
.EnumPublicSealedvaCoRe3vUnique;SendBehavior;0
.EnumPublicSealedvaCuStFaOcPlXbPlViNiUnique;LoginMethodEnum;0
.EnumPublicSealedvaDeCo3vUnique;Unity.IO.Compression.CompressionMode;30
.EnumPublicSealedvaDeCrJoRe5vUnique;Photon.Realtime.JoinMode;50
.EnumPublicSealedvaDeNo3vUnique;Discord.CreateFlags;30
.EnumPublicSealedvaDeSqAs4vUnique;Photon.Realtime.LobbyType;40
.EnumPublicSealedvaDoMeReAdReSlAd13SlUnique;Photon.Realtime.EventCaching;130
.EnumPublicSealedvaErInFu4vUnique;Photon.Pun.PunLogLevel;0
.EnumPublicSealedvaErWaInDe5vUnique;Discord.LogLevel;50
.EnumPublicSealedvaFaGrAuGrOtReGr10GrUnique;FavoriteEnum;0
.EnumPublicSealedvaFiSeRa4vUnique;Photon.Realtime.MatchmakingMode;40
.EnumPublicSealedvaFiTaRe4vUnique;Photon.Pun.OwnershipOption;0
.EnumPublicSealedvaFr5vFrFrFrUnique;FrameDuration;0
.EnumPublicSealedvaINHELHRHLSRSBOLTRTUnique;FIKBodyBenderEffectorType;120
.EnumPublicSealedvaInOu8vInOuInInInUnique;FadeInOutStatus;80
.EnumPublicSealedvaJoSp3vUnique;Discord.ActivityActionType;30
.EnumPublicSealedvaLeEqLeGrNoGr7vUnique;Discord.LobbySearchComparison;70
.EnumPublicSealedvaLeRi3vUnique;WingType;0
.EnumPublicSealedvaLoDeExGl5vUnique;Discord.LobbySearchDistance;50
.EnumPublicSealedvaLoRe3v0;SpeakerMode;30
.EnumPublicSealedvaMaGaNa4vUnique;Photon.Realtime.ServerConnection;40
.EnumPublicSealedvaNaWiUlOp5vUnique;BandMode;50
.EnumPublicSealedvaNeFaBaReClCuFiAlPoUnique;VRC.UserCamera.CameraProperty;0
.EnumPublicSealedvaNOAn5vAnAn0;VRCFlatBuffers.AnimatorParameter;50
.EnumPublicSealedvaNoAuFaFi5vUnique;FilterTypeEnum;0
.EnumPublicSealedvaNODa7vDaDaDaDa0;VRCFlatBuffers.DataStorageEntry;70
.EnumPublicSealedvaNoDeFu4vUnique;USpeakDebugLevel;40
.EnumPublicSealedvaNofaGoPi5vUnique;StoreTypeEnum;0
.EnumPublicSealedvaNoFrBlPeImPe7vUnique;Discord.RelationshipType;70
.EnumPublicSealedvaNoGaAc5vGaUnique;Photon.Realtime.PropertyTypeFlag;50
.EnumPublicSealedvaNoLoFrNeDeNeAdInAdUnique;TrustLevelEnum;0
.EnumPublicSealedvaNoMiFiUnCoSeAsDuAsUnique;Photon.Realtime.ClientState;10
.EnumPublicSealedvaNoObArStInLoDoBo9vUnique;LitJson.JsonType;90
.EnumPublicSealedvaNoObPrArObInArLoDoUnique;LitJson.JsonToken;130
.EnumPublicSealedvaNoPhShLoReLoEnGrSmUnique;VRC.UserSocialClass;0
.EnumPublicSealedvaNoSpFu4vUnique;ThreeDMode;40
.EnumPublicSealedvaNOSyPlDeDaSyPoUdSyUnique;VRCFlatBuffers.SerializedType;90
.EnumPublicSealedvaNoTi4vTiUnique;Discord.PremiumType;40
.EnumPublicSealedvaNOUdVeUdQuVeCoUd390;VRCFlatBuffers.UdonValue;390
.EnumPublicSealedvaNOUdVeUdQuVeCoUd391;UdonTypeEnum;0
.EnumPublicSealedvaNoXYXZYZ6vXYUnique;RandomMoveCoordinates;0
.EnumPublicSealedvaNoYeIg4vUnique;Discord.ActivityJoinRequestReply;40
.EnumPublicSealedvaOfGhSo4vUnique;VRC.UserCamera.UserCameraMode;0
.EnumPublicSealedvaOfOnIdDo5vUnique;Discord.Status;50
.EnumPublicSealedvaOfReUn5vUnUnique;Photon.Pun.ViewSynchronization;0
.EnumPublicSealedvaOKBaBuInUnInAl9vInUnique;FragLabs.Audio.Codecs.Opus.Errors;90
.EnumPublicSealedvaOkSeInLoNoInCoNoApUnique;Discord.Result;450
.EnumPublicSealedvaOtAlMa4vUnique;Photon.Realtime.ReceiverGroup;40
.EnumPublicSealedvaPaDa5vDaDaUnique;PhotonEncryptionEnum;50
.EnumPublicSealedvaPaHy6vHyHyHyUnique;Discord.UserFlag;60
.EnumPublicSealedvaPaQuDeSeImCaPaInNuUnique;Eyeshot360cam.Eyeshot360camParameter;240
.EnumPublicSealedvaPlStLiWa5vUnique;Discord.ActivityType;50
.EnumPublicSealedvaPoAvRe4vUnique;VRC.Feature;0
.EnumPublicSealedvaPoShSt4vUnique;DynamicPedestalOption;0
.EnumPublicSealedvaPrPu3vUnique;Discord.LobbyType;30
.EnumPublicSealedvaPuPrDeTeFrUs8vPrUnique;Discord.EntitlementType;80
.EnumPublicSealedvaREPORECRDECRUP9vREUnique;PortalEnums;0
.EnumPublicSealedvaSeAdEmSeIn7vSeUnique;GalleryEnum;0
.EnumPublicSealedvaSeGeOpSeGe13SeGeSeUnique;FragLabs.Audio.Codecs.Opus.Ctl;130
.EnumPublicSealedvaSeReCoRe6vReUnique;InviteEnum;0
.EnumPublicSealedvaShAl4vAlUnique;StatusMode;0
